<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.17	2651.762	2658.611	2632.966	2647.378	161468	0	159
2024.12.18	2647.365	2651.700	2583.382	2588.225	184822	0	159
2024.12.19	2588.256	2626.430	2586.951	2593.519	208926	0	159
2024.12.20	2593.496	2631.875	2589.593	2622.643	178809	0	64
2024.12.22	2623.329	2624.924	2621.740	2624.293	1851	0	159
2024.12.23	2624.398	2633.241	2608.078	2615.492	124019	0	64
2024.12.24	2615.546	2621.447	2610.019	2616.713	100985	0	159
2024.12.25	2615.621	2620.115	2615.371	2618.656	2414	0	160
2024.12.26	2618.647	2639.177	2618.614	2632.684	118184	0	159
2024.12.27	2632.689	2638.314	2611.608	2621.623	135702	0	159
2024.12.29	2621.977	2626.167	2621.632	2624.035	4006	0	159
2024.12.30	2624.080	2628.157	2596.042	2606.677	141471	0	159
2024.12.31	2606.717	2627.562	2602.591	2624.381	122358	0	159
2025.01.01	2625.179	2625.839	2621.641	2623.766	3113	0	159
2025.01.02	2623.798	2660.458	2622.720	2658.327	161371	0	159
2025.01.03	2658.328	2665.214	2636.644	2640.370	133677	0	159
2025.01.05	2639.644	2642.386	2639.644	2641.063	3241	0	160
2025.01.06	2641.098	2649.489	2614.436	2634.681	194970	0	159
2025.01.07	2634.634	2664.264	2632.918	2649.807	171099	0	159
2025.01.08	2649.817	2670.053	2645.202	2662.507	162591	0	159
2025.01.09	2662.526	2678.351	2655.471	2669.951	136127	0	159
2025.01.10	2669.978	2698.026	2663.994	2689.592	274153	0	159
2025.01.12	2689.769	2691.385	2687.574	2691.105	5119	0	159
2025.01.13	2691.128	2693.368	2656.768	2668.058	263985	0	159
2025.01.14	2667.975	2678.294	2659.802	2675.590	201952	0	159
2025.01.15	2675.580	2697.970	2669.388	2694.956	219512	0	159
2025.01.16	2694.984	2724.740	2689.907	2714.585	245500	0	159
2025.01.17	2714.619	2717.325	2699.242	2702.879	165374	0	159
2025.01.19	2702.629	2703.084	2691.547	2696.424	4791	0	160
2025.01.20	2696.424	2713.771	2689.395	2710.445	143205	0	159
2025.01.21	2710.433	2745.963	2702.797	2744.259	169476	0	159
2025.01.22	2744.309	2763.430	2742.713	2755.583	221386	0	159
2025.01.23	2755.562	2758.962	2735.770	2754.543	235308	0	159
2025.01.24	2754.546	2786.011	2754.329	2771.079	222291	0	159
2025.01.26	2765.650	2769.721	2765.185	2767.553	8226	0	159
2025.01.27	2767.554	2772.540	2730.478	2741.710	279883	0	159
2025.01.28	2741.743	2765.052	2734.772	2762.695	205297	0	159
2025.01.29	2762.698	2766.271	2744.745	2760.306	227022	0	159
2025.01.30	2760.243	2798.476	2758.704	2796.146	234840	0	159
2025.01.31	2796.183	2817.244	2791.000	2799.348	294862	0	159
2025.02.02	2801.018	2804.653	2784.271	2793.709	36984	0	159
2025.02.03	2793.726	2830.570	2772.137	2814.023	393877	0	159
2025.02.04	2813.985	2845.504	2807.199	2841.206	313327	0	159
2025.02.05	2841.236	2882.425	2839.698	2869.279	291519	0	159
